POWER,SFOC 
16396.7,172.9009961
15891,176.7335284
15864.3,177.0306032
16373.3,173.8028807
16339.7,176.1562863
16190,178.6477764
16543,174.5541921
15995.3,180.5307798
16022.3,180.5172468
16113,178.9233848
16262.3,178.4259639
16171.7,177.9862929
15836,180.8766418
15697.7,177.1299875
15761.7,175.5242677
15912.7,177.9563451
16116.3,173.3955201
15840.7,178.4711818
16901,177.7461393
16413.7,180.7534879
16492.7,179.8876774
16680.3,177.8638017
12702.7,176.3611971
13329.3,170.5156547
16046,178.5094416
16050.7,178.4575407
16233.7,177.880331
16301,177.4312926
16380.3,177.7092957
16312.7,177.875424
16539.7,173.462988
16084.3,180.6901125
16111,179.2346844
16090.7,175.6982826
16161.3,177.5237192
16218.7,178.0448454
16144.7,175.9760705
17030,175.5792719
16978.3,178.0338176
16551.7,180.3720169
16218.7,177.1833381
16102.7,177.5920137
16084.3,178.0840051
15977,177.531295
15883,176.23607
16675.7,178.472175
16677.3,178.175068
12519.7,169.6387018
12460.7,170.8157001
11428,171.1716836
13496,171.1707172
14371,175.3327883
14646.3,171.7187464
14540.3,171.0486921
12748,170.2537653
10383,170.9050852
9657.3,177.9598405
9741.3,174.0346975
9711,180.813253
10755.7,170.1798277
10650,172.3056338
12573.3,171.1371951
12808.3,174.5426155
9232.3,176.0624797
9138.3,177.3638519
7859.7,175.9969676
7122.3,173.2911733
9583.3,192.942
10193.3,175.4558535
10127.7,170.6150643
9497.7,172.1246446
12398.7,170.1672895
12365,167.2405985
12467.7,171.4669278
12378.7,168.9372173
10826.3,179.3938391
11145.7,170.0752908
9140,168.6687637
10907.3,169.094493
7708.7,174.0067457
8888,175.0230648
8414.3,176.5728123
13023.7,173.4448184
15679.7,175.2540445
15705,175.2679083
15797.3,174.5383187
16437.3,178.7931437
16578,178.1188925
16522.7,178.9972866
16351.3,180.3031863
16615,173.7977731
11196,170.9746785
11068.3,173.3675651
10982.7,173.8717069
9360,175.6514423
10465.3,169.1154924
10191.7,175.9415372
7645,178.5019621
9603.7,175.0745375
9410.3,167.7828451
9340,175.0302463
7468.3,175.240906
9076,174.9898083
9709.3,174.1285876
5585.7,178.4397565
7613,176.1933535
7896.7,174.5825243
9655.7,173.6493251
10455.3,173.2864407
8868,176.4682003
11361,173.0010562
